Iteration,Loss,Elapsed Time
1,9.555,44.1
2,9.609,68.8
3,9.577,91.4
4,9.644,114
5,9.68,137.1
6,9.74,160.7
7,9.709,183
8,9.714,207.2
9,9.759,238.5
10,9.743,267.7
11,9.764,298.7
12,9.714,335.2
13,9.616,361.7
14,9.533,386.7
15,9.406,414
16,9.349,439.9
17,9.26,467
18,9.069,493.6
19,8.948,518.9
20,8.758,545
21,8.557,570.5
22,8.32,596.6
23,8.081,622.6
24,7.927,656.8
25,7.715,682.3
26,7.505,708.7
27,7.344,736.8
28,7.165,762.8
29,6.994,785.6
30,6.805,810.6
31,6.6,838.4
32,6.533,864.2
33,6.335,890.8
34,6.179,917.9
35,6.049,942.9
36,5.981,976
37,5.823,1002.3
38,5.715,1026.5
39,5.564,1052
40,5.433,1076.4
41,5.324,1101.8
42,5.251,1128.5
43,5.144,1153.9
44,5.087,1178.1
45,5.013,1208.3
46,4.954,1233.7
47,4.879,1260.5
48,4.848,1293.9
49,4.773,1318.9
50,4.711,1343.4
51,4.649,1370.8
52,4.599,1394.5
53,4.623,1419.5
54,4.559,1446.1
55,4.481,1472.7
56,4.41,1497.5
57,4.38,1524.2
58,4.31,1548.6
59,4.28,1574.5
60,4.275,1608.8
61,4.247,1635.3
62,4.255,1660.7
63,4.212,1688.1
64,4.13,1713.8
65,4.076,1739.1
66,4.046,1766.2
67,4.05,1792.9
68,4.012,1817.3
69,4.003,1845.3
70,3.979,1869.7
71,3.985,1895
72,3.928,1928.4
73,3.871,1952.5
74,3.9,1977
75,3.865,2005.3
76,3.849,2030.8
77,3.863,2056.2
78,3.899,2082.7
79,3.894,2106.8
80,3.855,2133.6
81,3.861,2160.2
82,3.813,2185.3
83,3.775,2211.9
84,3.74,2242.1
85,3.704,2267.9
86,3.682,2293
87,3.703,2317.8
88,3.679,2345.6
89,3.727,2368.8
90,3.688,2394.8
91,3.69,2422.4
92,3.752,2448.5
93,3.731,2472.7
94,3.706,2498.7
95,3.733,2523.5
96,3.715,2556.4
97,3.692,2583.3
98,3.67,2608.2
99,3.673,2633.4
100,3.683,2659.8
101,3.646,2684.9
102,3.623,2710.7
103,3.595,2738.7
104,3.572,2764
105,3.572,2788.7
106,3.538,2815.8
107,3.515,2847.9
108,3.507,2875.2
109,3.495,2903.1
110,3.485,2927.3
111,3.464,2951.6
112,3.445,2977.8
113,3.394,3001.5
114,3.41,3031.1
115,3.381,3058.4
116,3.361,3082.9
117,3.406,3111.3
118,3.388,3136.2
119,3.39,3168
120,3.37,3195.7
121,3.373,3222.1
122,3.358,3245.3
123,3.331,3273
124,3.335,3299.4
125,3.341,3327.4
126,3.321,3352.3
127,3.332,3378.4
128,3.286,3402.2
129,3.305,3426.7
130,3.301,3451.5
131,3.298,3483.7
132,3.251,3508
133,3.266,3533.3
134,3.282,3558.8
135,3.254,3585.3
136,3.232,3609.9
137,3.219,3636.9
138,3.233,3663.5
139,3.247,3687.9
140,3.205,3714
141,3.23,3739.9
142,3.228,3765.5
143,3.222,3798.7
144,3.25,3825.2
145,3.208,3850.1
146,3.167,3876.5
147,3.157,3900.6
148,3.147,3925.8
149,3.16,3953.9
150,3.151,3980.1
151,3.114,4005.6
152,3.152,4032.4
153,3.121,4059
154,3.104,4084
155,3.085,4116.7
156,3.107,4141.4
157,3.097,4167.9
158,3.064,4196.7
159,3.059,4222.4
160,3.046,4247.9
161,3.032,4273.9
162,3.025,4297.9
163,3.052,4322.7
164,3.049,4348.6
165,3.055,4376
166,3.027,4400
167,3.025,4432.6
168,3.026,4456
169,3.008,4482.4
170,3.003,4508.5
171,3.007,4533.7
172,2.977,4559.6
173,2.927,4586.5
174,2.914,4610.8
175,2.907,4635.2
176,2.859,4660.5
177,2.907,4686.7
178,2.93,4711.7
179,2.879,4744.3
180,2.89,4770.4
181,2.918,4795.2
182,2.927,4822.7
183,2.936,4846.9
184,2.934,4873.6
185,2.926,4898.8
186,2.93,4923.8
187,2.935,4949.6
188,2.963,4973.6
189,2.975,5001.4
190,2.946,5026
191,2.923,5059
192,2.937,5084.5
193,2.947,5110.5
194,2.891,5135.8
195,2.86,5163
196,2.828,5190
197,2.842,5215.3
198,2.812,5242.8
199,2.839,5268.9
200,2.858,5292.2
201,2.881,5319.5
202,2.901,5351.5
203,2.89,5374.7
204,2.886,5400.6
205,2.858,5424.3
206,2.86,5448.3
207,2.855,5474.9
208,2.841,5501.5
209,2.826,5528.3
210,2.804,5554.6
211,2.801,5580.6
212,2.788,5605.7
213,2.828,5632.1
214,2.82,5663.1
215,2.801,5688.2
216,2.784,5713.6
217,2.761,5737.7
218,2.769,5762.9
219,2.82,5791.3
220,2.845,5819.1
221,2.874,5844.5
222,2.86,5871.1
223,2.834,5896
224,2.809,5919.3
225,2.801,5946.8
226,2.773,5980.9
227,2.781,6005.7
228,2.766,6031.4
229,2.793,6056.8
230,2.779,6082.7
231,2.733,6108.5
232,2.718,6134.1
233,2.726,6159.7
234,2.737,6185.8
235,2.771,6210.1
236,2.784,6235.2
237,2.773,6260.1
238,2.752,6294.5
239,2.76,6318.6
240,2.754,6344
241,2.713,6369.7
242,2.715,6395.6
243,2.695,6423.8
244,2.667,6450.7
245,2.646,6475
246,2.722,6499.6
247,2.697,6526.7
248,2.673,6550.9
249,2.632,6577.2
250,2.614,6608.7
251,2.571,6633.7
252,2.589,6658.6
253,2.574,6684.8
254,2.592,6710.6
255,2.584,6737.3
256,2.548,6764.4
257,2.56,6790
258,2.596,6814.7
259,2.591,6842.5
260,2.577,6868.6
261,2.546,6894.1
262,2.591,6927.3
263,2.604,6952.9
264,2.597,6979.7
265,2.585,7004.6
266,2.568,7030.4
267,2.574,7056.4
268,2.569,7083
269,2.567,7108.7
270,2.594,7134.5
271,2.577,7160.5
272,2.553,7185.2
273,2.543,7211.4
274,2.539,7242.1
275,2.509,7267.6
276,2.516,7293.5
277,2.532,7318.5
278,2.531,7344
279,2.49,7368.9
280,2.507,7393.9
281,2.49,7419.8
282,2.467,7445.2
283,2.457,7469.9
284,2.469,7496
285,2.43,7520.6
286,2.421,7553.8
287,2.443,7580.6
288,2.433,7604.6
289,2.407,7627.8
290,2.411,7654.4
291,2.4,7681.3
292,2.416,7707.8
293,2.417,7734.3
294,2.428,7759.5
295,2.426,7784.1
296,2.464,7810.5
297,2.489,7842.6
298,2.477,7869.2
299,2.5,7897
300,2.501,7922.1
301,2.492,7946.8
302,2.488,7974.2
303,2.457,8002.4
304,2.452,8028.3
305,2.458,8053.9
306,2.449,8077.8
307,2.433,8103.2
308,2.426,8130
309,2.47,8162.5
310,2.438,8187.2
311,2.404,8213
312,2.398,8239.2
313,2.39,8265
314,2.381,8291.4
315,2.389,8316.8
316,2.371,8341.9
317,2.376,8366.9
318,2.37,8391
319,2.415,8418.2
320,2.428,8443.7
321,2.398,8477
322,2.385,8502
323,2.344,8525.5
324,2.352,8551.9
325,2.375,8577.3
326,2.345,8604.1
327,2.331,8632
328,2.272,8657
329,2.294,8683.7
330,2.301,8709.3
331,2.328,8734.6
332,2.335,8759.8
333,2.343,8793.6
334,2.344,8819.5
335,2.358,8845.1
336,2.349,8870.7
337,2.33,8895.9
338,2.318,8921.7
339,2.327,8950.3
340,2.336,8976.5
341,2.344,9002.7
342,2.333,9028.9
343,2.35,9056
344,2.329,9081.7
345,2.325,9115
346,2.284,9140.2
347,2.282,9165.5
